quarter,TenneT_curtailment_rate,TenneT_production_mwh,TenneT_curtailed_mwh,50Hertz_curtailment_rate,50Hertz_production_mwh,50Hertz_curtailed_mwh,Amprion_curtailment_rate,Amprion_production_mwh,Amprion_curtailed_mwh,TransnetBW_curtailment_rate,TransnetBW_production_mwh,TransnetBW_curtailed_mwh
2015Q1,0.09530035207443505,8194858.75,863240.0,0.029447978426624857,8396098.5,254750.0,0.0045541750385832145,3597806.0,16460.0,0.0007189108500621559,250198.75,180.0
2015Q2,0.09232223551591376,5428926.0,552190.0,0.03301157413500447,5115625.75,174640.0,0.0043909375926906415,2244743.75,9900.0,0.0010237457834470544,146370.75,150.0
2015Q3,0.08906269152732005,5464026.75,534220.0,0.049698280341429805,5116318.5,267570.0,0.004713182524425895,2436911.75,11540.0,0.00911726229951419,204322.25,1880.0
2015Q4,0.1376137133917989,9454346.25,1508660.0,0.056710695709236376,8709226.25,523600.0,0.0006524281568595988,3967195.75,2590.0,0.0022775368439033185,315411.0,720.0
2016Q1,0.11403908314741337,9088086.75,1169800.0,0.03968417234191625,7965088.75,329150.0,0.002492969903268064,4453424.5,11130.0,0.002325947310452397,437511.0,1020.0
2016Q2,0.06500282591989906,5783928.75,402110.0,0.02620616497341991,4798336.5,129130.0,0.0009612773559822682,2255243.0,2170.0,0.0017322469861923801,247802.5,430.0
2016Q3,0.08397410061565538,5023442.75,460510.0,0.018784136594201518,4313682.75,82580.0,0.004142343442756978,1781432.5,7410.0,0.002580140321565849,235811.25,610.0
2016Q4,0.2693268665746293,7883700.25,2905940.0,0.09684204258521692,7401934.0,793680.0,0.012692774868053544,3131623.25,40260.0,0.007125029600306795,473791.0,3400.0
2017Q1,0.10103203552398203,9546415.0,1072890.0,0.041128314496888876,7744028.0,332160.0,0.001289273869082042,4415393.25,5700.0,0.0017965299333364555,650085.5,1170.0
2017Q2,0.13542094040218902,7453511.0,1167460.0,0.028476218172948722,6627914.0,194270.0,0.00029222431572862825,2531561.25,740.0,0.0007084531402526044,366736.75,260.0
2017Q3,0.04962306812140752,6028640.75,314780.0,0.020139071371826293,5215786.25,107200.0,0.004346506438805504,2636593.75,11510.0,0.0014176682356437237,366279.5,520.0
2017Q4,0.12889244238320588,13156996.0,1946760.0,0.028161149640748697,11688162.75,338690.0,0.0033190713664527044,5939718.25,19780.0,0.002631969944601278,822307.5,2170.0
2018Q1,0.1268028912140319,11630541.25,1688950.0,0.027486834090733287,9202966.0,260110.0,0.0031937154148919313,6164270.0,19750.0,0.002292579942596469,896491.0,2060.0
2018Q2,0.09039803222877749,7801113.5,775290.0,0.02474019609469666,6392749.75,162170.0,0.002022288394415014,3163266.5,6410.0,0.0024771385095120036,479203.0,1190.0
2018Q3,0.08619250707598622,6527082.25,615650.0,0.018843631395328308,5251611.5,100860.0,0.002359892078568851,2629493.75,6220.0,0.001063332210128814,347592.75,370.0
2018Q4,0.12072562638072601,11807743.25,1621220.0,0.011933023176121825,10264847.5,123970.0,0.002576862337850747,5898929.25,15240.0,0.00394989642255305,811991.25,3220.0
2019Q1,0.16309594006510778,13995837.0,2727510.0,0.03772119552742623,12866117.0,504350.0,0.004159575569904906,7141574.75,29830.0,0.002630054861863574,1107323.0,2920.0
2019Q2,0.0757248899629744,8192464.25,671200.0,0.028003505063692098,6566750.0,189190.0,0.004115823000902675,3460096.25,14300.0,0.0013681578577072531,576628.75,790.0
2019Q3,0.09242527777578635,7215897.0,734850.0,0.01889591780924663,5820917.5,112110.0,0.005497930961294054,3008144.25,16630.0,0.0013535094869534376,413179.25,560.0
2019Q4,0.09914484544370618,11869281.5,1306290.0,0.020015040696809004,9827738.25,200720.0,0.004669104478904939,6663814.0,31260.0,0.0007175833586439269,1002647.75,720.0
2020Q1,0.1263987966246904,16649725.75,2409000.0,0.03622689605066002,14179825.5,533000.0,0.001965673444636316,9139167.0,18000.0,0.0007300217236214406,1368822.25,1000.0
2020Q2,0.08958656425205197,7652278.25,753000.0,0.026092787961127305,6307885.5,169000.0,0.005638221673873841,3527217.75,20000.0,0.008817720090293454,562040.0,5000.0
2020Q3,0.10387380167918364,6547943.5,759000.0,0.023614342558073015,5044351.75,122000.0,0.004351101236528583,3203576.25,14000.0,0.016443234431193287,418707.0,7000.0
2020Q4,0.0909823250777832,11889463.5,1190000.0,0.01652246982319331,9523782.25,160000.0,0.0012697024591160767,6292688.75,8000.0,0.0,776930.25,0.0
2021Q1,0.1232079070182118,11194037.75,1573000.0,0.029212089188968154,8706889.5,262000.0,0.004553583535321305,5902396.0,27000.0,0.001115655236871736,895334.25,1000.0
2021Q2,0.12498272369689316,8037269.5,1148000.0,0.04886486485043129,7124044.25,366000.0,0.006656793655483931,4029006.75,27000.0,0.003013372215879492,661708.25,2000.0
2021Q3,0.09737752558343477,6562671.5,708000.0,0.03304682037784841,5413118.0,185000.0,0.011511429537566408,2919586.25,34000.0,0.0024022408102277806,415278.0,1000.0
2021Q4,0.08872773855692674,11472073.25,1117000.0,0.034816724980992794,9813527.25,354000.0,0.0021196948398987865,5649192.25,12000.0,0.00129169552798862,773176.25,1000.0
2022Q1,0.12810022516371697,15416467.75,2265000.0,0.06746653111498681,13366032.75,967000.0,0.006943418185353013,7437106.75,52000.0,0.0008432725298702942,1184856.25,1000.0
2022Q2,0.1514992349312791,8781887.25,1568000.0,0.07451236551741768,6806484.0,548000.0,0.004101540635169408,4127784.0,17000.0,0.0,595612.0,0.0
