date,price_eur_mwh
2015-01-01,31.05307098765432
2015-02-01,36.71691964285714
2015-03-01,31.34314939434724
2015-04-01,29.724375
2015-05-01,25.357916666666668
2015-06-01,30.06438888888889
2015-07-01,34.99568548387097
2015-08-01,31.605094086021502
2015-09-01,31.881319444444443
2015-10-01,39.38145161290323
2015-11-01,32.389375
2015-12-01,27.780604838709678
2016-01-01,29.035524193548387
2016-02-01,21.989554597701147
2016-03-01,24.30504710632571
2016-04-01,24.21348611111111
2016-05-01,22.54236559139785
2016-06-01,27.69377777777778
2016-07-01,27.188306451612902
2016-08-01,27.182567204301076
2016-09-01,30.493861111111112
2016-10-01,37.135551075268815
2016-11-01,38.222541666666665
2016-12-01,37.477889784946235
2017-01-01,52.372956989247314
2017-02-01,39.70160714285714
2017-03-01,31.701386271870795
2017-04-01,28.86991666666667
2017-05-01,30.460510752688172
2017-06-01,30.00161111111111
2017-07-01,33.009112903225805
2017-08-01,30.848387096774193
2017-09-01,34.34861111111111
2017-10-01,28.401478494623657
2017-11-01,40.366625
2017-12-01,30.765725806451613
2018-01-01,29.46159946236559
2018-02-01,40.11510416666666
2018-03-01,37.36347240915209
2018-04-01,32.056263888888886
2018-05-01,33.54216397849462
2018-06-01,42.42323611111111
2018-07-01,49.54345430107527
2018-08-01,56.189408602150536
2018-09-01,54.832138888888885
2018-10-01,53.12668010752688
2018-11-01,56.676013888888896
2018-12-01,48.13212365591398
2019-01-01,49.393373655913976
2019-02-01,42.82078869047619
2019-03-01,30.626958277254378
2019-04-01,36.95590277777778
2019-05-01,37.84356182795699
2019-06-01,32.517583333333334
2019-07-01,39.68502688172043
2019-08-01,36.84849462365591
2019-09-01,35.75070833333333
2019-10-01,36.999556451612904
2019-11-01,41.00120833333333
2019-12-01,31.966142473118282
2020-01-01,35.0349059139785
2020-02-01,21.919008620689652
2020-03-01,22.485827725437417
2020-04-01,17.093125
2020-05-01,17.596505376344084
2020-06-01,26.18488888888889
2020-07-01,30.062862903225806
2020-08-01,34.86395161290322
2020-09-01,43.690194444444444
2020-10-01,34.01510752688172
2020-11-01,38.78570833333333
2020-12-01,43.51974462365591
2021-01-01,52.806223118279576
2021-02-01,48.70494047619048
2021-03-01,47.16483176312248
2021-04-01,53.61313888888889
2021-05-01,53.34893817204301
2021-06-01,74.07995833333334
2021-07-01,81.36924731182796
2021-08-01,82.69688172043011
2021-09-01,128.37230555555556
2021-10-01,139.59403225806452
2021-11-01,176.1513611111111
2021-12-01,221.06038978494624
2022-01-01,167.72657258064518
2022-02-01,128.80267857142857
2022-03-01,252.00685060565274
2022-04-01,165.73190277777778
2022-05-01,177.4769489247312
2022-06-01,218.0332361111111
2022-07-01,315.0009946236559
2022-08-01,465.18350806451616
2022-09-01,346.11512500000003
2022-10-01,152.67469086021507
2022-11-01,173.634375
2022-12-01,251.61639784946237
2023-01-01,117.82931451612903
2023-02-01,128.31184523809523
2023-03-01,102.5214535666218
2023-04-01,100.74399999999999
2023-05-01,81.71538978494624
2023-06-01,94.7561111111111
2023-07-01,77.6061559139785
2023-08-01,94.3218817204301
2023-09-01,100.72348611111111
2023-10-01,87.49303763440861
2023-11-01,91.12227777777777
2023-12-01,68.51932795698924
2024-01-01,76.57114247311829
2024-02-01,61.335847701149426
2024-03-01,64.70199192462988
2024-04-01,62.360819444444445
2024-05-01,67.21001344086021
2024-06-01,72.88772222222222
2024-07-01,67.69702956989246
2024-08-01,82.04717741935484
2024-09-01,78.30997222222223
2024-10-01,86.10174731182795
2024-11-01,113.90644444444445
2024-12-01,108.31559139784946
2025-01-01,114.14016129032258
2025-02-01,128.52236607142856
2025-03-01,94.72749663526245
2025-04-01,77.93565277777778
2025-05-01,67.33862903225807
2025-06-01,63.9875
2025-07-01,87.79522849462366
2025-08-01,76.99025537634408
2025-09-01,83.51108333333333
2025-10-01,84.51182795698925
2025-11-01,101.88231944444445
2025-12-01,93.47024193548387
