auction_date,strike_ct_per_kwh,strike_eur_mwh
01.08.2025,6.62,66.2
01.05.2025,6.87,68.7
01.02.2025,7.0,70.0
01.11.2024,7.19,71.9
01.08.2024,7.3262673361739115,73.26267336173912
01.05.2024,7.3262673361739115,73.26267336173912
01.02.2024,7.335302733204788,73.35302733204787
01.11.2023,7.310216951872873,73.10216951872873
01.08.2023,7.323959569784614,73.23959569784614
01.05.2023,7.342124456800791,73.4212445680079
01.02.2023,7.344257057801043,73.44257057801043
01.12.2022,5.865274562915538,58.652745629155376
01.09.2022,5.840856262780524,58.40856262780524
01.05.2022,5.846440558037364,58.46440558037364
01.02.2022,5.739408816697126,57.39408816697126
01.09.2021,5.809116808491973,58.09116808491973
01.05.2021,5.877542341504577,58.775423415045765
01.02.2021,5.996789092932666,59.96789092932666
01.12.2020,5.9824828793182165,59.824828793182164
01.10.2020,6.114088042135379,61.14088042135379
01.09.2020,6.191446287646964,61.91446287646964
01.07.2020,6.084980371630463,60.849803716304635
01.06.2020,6.135732158514938,61.35732158514938
01.03.2020,6.080221878224974,60.802218782249746
01.02.2020,6.176377362073877,61.763773620738775
01.12.2019,6.110253703487694,61.10253703487694
01.10.2019,6.199803988827363,61.99803988827363
01.09.2019,6.195088120973324,61.95088120973324
01.08.2019,6.197926854754441,61.979268547544415
01.05.2019,6.1159706400867915,61.15970640086792
01.02.2019,6.041094535333106,60.41094535333106
01.10.2018,6.172408909488863,61.724089094888626
01.08.2018,6.114684871577759,61.14684871577759
01.05.2018,5.478163339623266,54.78163339623266
01.02.2018,4.904926605115101,49.04926605115101
01.11.2017,4.021597779874906,40.21597779874906
01.08.2017,4.63812633672026,46.38126336720261
01.05.2017,5.818198836539946,58.18198836539946
