Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015;Feb 1, 2015;13,646,952.50;13,917,109.75;270,157.25;9,662,725.50
Feb 1, 2015;Mar 1, 2015;12,526,187.00;12,736,814.75;210,627.75;9,799,138.50
Mar 1, 2015;Apr 1, 2015;13,377,056.75;13,628,196.00;251,139.25;9,233,946.00
Apr 1, 2015;May 1, 2015;11,843,568.00;12,067,067.50;223,499.50;8,111,572.00
May 1, 2015;Jun 1, 2015;11,903,135.25;12,116,185.25;213,050.00;7,689,349.25
Jun 1, 2015;Jul 1, 2015;11,413,646.25;11,583,913.25;170,267.00;7,776,133.00
Jul 1, 2015;Aug 1, 2015;12,437,883.50;12,667,887.75;230,004.25;7,842,173.00
Aug 1, 2015;Sep 1, 2015;12,175,210.75;12,404,113.50;228,902.75;8,565,110.50
Sep 1, 2015;Oct 1, 2015;12,792,726.75;13,001,795.25;209,068.50;8,916,558.75
Oct 1, 2015;Nov 1, 2015;13,171,325.00;13,416,761.75;245,436.75;10,292,330.25
Nov 1, 2015;Dec 1, 2015;13,544,373.75;13,790,986.25;246,612.50;8,084,116.75
Dec 1, 2015;Jan 1, 2016;12,979,146.00;13,223,740.25;244,594.25;7,112,933.75
Jan 1, 2016;Feb 1, 2016;13,940,644.25;14,195,000.00;254,355.75;9,077,417.50
Feb 1, 2016;Mar 1, 2016;13,127,521.75;13,368,159.25;240,637.50;8,182,627.75
Mar 1, 2016;Apr 1, 2016;13,413,686.50;13,650,069.00;236,382.50;9,595,069.75
Apr 1, 2016;May 1, 2016;12,294,285.50;12,522,832.25;228,546.75;7,991,390.50
May 1, 2016;Jun 1, 2016;12,022,947.25;12,296,749.50;273,802.25;7,292,579.50
Jun 1, 2016;Jul 1, 2016;12,074,140.00;12,333,331.75;259,191.75;8,569,958.00
Jul 1, 2016;Aug 1, 2016;12,237,873.00;12,482,247.50;244,374.50;7,932,518.75
Aug 1, 2016;Sep 1, 2016;12,211,002.50;12,422,878.00;211,875.50;7,846,845.75
Sep 1, 2016;Oct 1, 2016;12,202,331.50;12,390,103.50;187,772.00;8,519,579.75
Oct 1, 2016;Nov 1, 2016;12,891,562.50;13,116,795.25;225,232.75;9,224,414.00
Nov 1, 2016;Dec 1, 2016;13,511,974.75;13,764,640.25;252,665.50;9,203,516.25
Dec 1, 2016;Jan 1, 2017;13,634,910.75;13,888,371.00;253,460.25;8,900,761.25
Jan 1, 2017;Feb 1, 2017;14,257,522.75;14,547,869.00;290,346.25;10,133,132.50
Feb 1, 2017;Mar 1, 2017;12,619,832.75;12,878,204.25;258,371.50;6,675,857.25
Mar 1, 2017;Apr 1, 2017;13,197,081.75;13,484,509.00;287,427.25;7,355,137.00
Apr 1, 2017;May 1, 2017;12,039,296.00;12,307,584.75;268,288.75;6,416,707.00
May 1, 2017;Jun 1, 2017;12,317,737.75;12,601,349.25;283,611.50;7,240,835.00
Jun 1, 2017;Jul 1, 2017;11,796,601.00;12,059,288.50;262,687.50;6,100,490.00
Jul 1, 2017;Aug 1, 2017;12,001,161.25;12,265,187.50;264,026.25;7,363,764.75
Aug 1, 2017;Sep 1, 2017;12,157,720.75;12,380,982.50;223,261.75;7,412,266.75
Sep 1, 2017;Oct 1, 2017;12,020,193.75;12,281,185.75;260,992.00;7,863,097.25
Oct 1, 2017;Nov 1, 2017;12,800,194.00;13,087,100.75;286,906.75;5,504,035.25
Nov 1, 2017;Dec 1, 2017;13,368,772.75;13,602,173.25;233,400.50;7,943,149.75
Dec 1, 2017;Jan 1, 2018;13,456,139.75;13,719,800.00;263,660.25;6,327,530.00
Jan 1, 2018;Feb 1, 2018;13,754,073.00;13,846,676.25;92,603.25;6,751,573.75
Feb 1, 2018;Mar 1, 2018;12,842,649.25;12,886,587.75;43,938.50;7,930,188.75
Mar 1, 2018;Apr 1, 2018;13,641,483.75;13,740,777.25;99,293.50;7,411,341.75
Apr 1, 2018;May 1, 2018;11,936,497.75;12,034,331.00;97,833.25;5,659,409.00
May 1, 2018;Jun 1, 2018;11,954,592.00;12,051,576.00;96,984.00;5,940,912.25
Jun 1, 2018;Jul 1, 2018;11,909,478.25;11,988,124.25;78,646.00;6,914,589.00
Jul 1, 2018;Aug 1, 2018;12,216,098.00;12,277,869.25;61,771.25;7,701,897.50
Aug 1, 2018;Sep 1, 2018;12,311,230.75;12,368,428.25;57,197.50;7,332,389.50
Sep 1, 2018;Oct 1, 2018;11,985,787.75;12,020,247.00;34,459.25;6,114,730.25
Oct 1, 2018;Nov 1, 2018;12,932,525.00;12,942,732.00;10,207.00;6,546,202.50
Nov 1, 2018;Dec 1, 2018;13,210,509.00;13,230,215.25;19,706.25;7,594,201.00
Dec 1, 2018;Jan 1, 2019;13,140,357.00;13,208,866.75;68,509.75;6,157,054.75
