year,month,energy_kwh
2004,1,406080.4590169726
2004,2,421202.0447974857
2004,3,385047.57293717645
2004,4,236601.90499614528
2004,5,236319.1690163183
2004,6,208456.29372293418
2004,7,168342.13993609982
2004,8,178139.541794696
2004,9,329522.1845444914
2004,10,302281.2338075621
2004,11,392130.8906745775
2004,12,484055.11349939264
2005,1,689544.6459352515
2005,2,371431.2853952913
2005,3,398048.6003592032
2005,4,231275.60128377352
2005,5,192920.2485254991
2005,6,165289.01913562705
2005,7,161465.7095718078
2005,8,171719.78627154892
2005,9,132069.11545815386
2005,10,328107.74972172466
2005,11,353275.4211497961
2005,12,508529.93691833614
2006,1,440603.9083244299
2006,2,271002.2862172267
2006,3,289273.4774090664
2006,4,254071.53517323488
2006,5,297029.6761942279
2006,6,83912.14314359252
2006,7,83565.26423647432
2006,8,205991.7599276391
2006,9,256366.88770923545
2006,10,318386.2124108249
2006,11,502631.76694753976
2006,12,555549.3144417922
2007,1,748031.9423267541
2007,2,381266.186740253
2007,3,425316.3724973362
2007,4,302139.8854014796
2007,5,211785.97389617946
2007,6,160146.11723929332
2007,7,246022.22696240837
2007,8,158611.83909400183
2007,9,334961.3171986661
2007,10,224167.70966039362
2007,11,446077.83393974707
2007,12,442409.5591775946
2008,1,741991.708235393
2008,2,412691.9442777082
2008,3,473103.40325082344
2008,4,201388.1663666364
2008,5,156682.8588922856
2008,6,180799.59912792
2008,7,181859.31615405224
2008,8,237337.93451203642
2008,9,166132.85241960915
2008,10,349698.0929117403
2008,11,433217.39186870377
2008,12,385915.05947492993
2009,1,437838.8663459337
2009,2,387101.426181352
2009,3,370233.97384065134
2009,4,269569.9002478035
2009,5,260883.74813592777
2009,6,247263.2109861471
2009,7,172348.7169033225
2009,8,169651.108600409
2009,9,213487.847855267
2009,10,344028.4355078356
2009,11,442394.2568406557
2009,12,325582.3898804819
2010,1,432935.8230416357
2010,2,355317.4532227714
2010,3,405055.7969565977
2010,4,301850.84753126634
2010,5,199696.90224036068
2010,6,137640.97582507765
2010,7,99662.02722866608
2010,8,153589.14925288563
2010,9,262519.05592919275
2010,10,385043.71659952385
2010,11,300985.820402476
2010,12,466582.19256342086
2011,1,463434.02919513884
2011,2,414830.32736191805
2011,3,342208.610120866
2011,4,329155.18980369513
2011,5,244048.59153555112
2011,6,185108.62755992124
2011,7,267545.1720002215
2011,8,188088.39222046128
2011,9,198326.27438674826
2011,10,348750.08990948804
2011,11,320715.4050949948
2011,12,681964.2083945255
2012,1,632074.4700846622
2012,2,406454.42105986713
2012,3,399843.5016823086
2012,4,280669.4668701156
2012,5,237816.40588652142
2012,6,183541.4911982785
2012,7,162587.31545099418
2012,8,120711.40217736915
2012,9,240049.90110620766
2012,10,327658.2127085203
2012,11,333697.419206762
2012,12,488059.03056431573
2013,1,418114.89829357935
2013,2,247398.82548720247
2013,3,356400.7463325533
2013,4,254383.1424015622
2013,5,189722.29026702634
2013,6,200248.18412172154
2013,7,103011.52763071889
2013,8,138512.55024507688
2013,9,255947.6494598045
2013,10,359461.05411858193
2013,11,392758.6143860164
2013,12,642362.9310494686
2014,1,537765.6285483472
2014,2,426656.3899919505
2014,3,298681.78186657146
2014,4,266418.4116997555
2014,5,270546.35261260497
2014,6,136911.625704807
2014,7,105188.24805705373
2014,8,163277.09517346454
2014,9,199319.91790088415
2014,10,228035.84252339328
2014,11,247434.12806627856
2014,12,569371.7850223293
2015,1,604998.8658539816
2015,2,358436.2189795421
2015,3,421832.58416974504
2015,4,298219.2660546886
2015,5,233200.15371885255
2015,6,167820.781205504
2015,7,210290.64112178326
2015,8,128809.91027423453
2015,9,238858.16027866158
2015,10,195385.20020848355
2015,11,452168.1235041158
2015,12,732288.5356201786
2016,1,487817.39402819314
2016,2,445481.6550160415
2016,3,251029.90246258295
2016,4,250622.12004812123
2016,5,210035.56270302588
2016,6,101268.25114951427
2016,7,153205.72198088706
2016,8,156959.48552201025
2016,9,148448.2640758181
2016,10,240949.75348437548
2016,11,372770.3236080021
2016,12,623435.7135047666
2017,1,443877.84566974733
2017,2,381207.95954308246
2017,3,330882.18753556657
2017,4,330865.1423197253
2017,5,183120.36056664627
2017,6,211667.44533994937
2017,7,133844.78459427666
2017,8,169626.28800482902
2017,9,246785.95272135412
2017,10,465263.46794624714
2017,11,390520.0297204837
2017,12,580565.8607850638
2018,1,580806.8273063047
2018,2,226304.4875740067
2018,3,360588.44971386646
2018,4,300281.83394546044
2018,5,215536.37485641096
2018,6,174759.7456230091
2018,7,105611.53555324613
2018,8,147216.12788824356
2018,9,233548.54261682447
2018,10,362629.264636838
2018,11,315763.62328695325
2018,12,533088.5686634844
2019,1,506188.28044387966
2019,2,442208.1956259976
2019,3,483600.23311222444
2019,4,315004.22059254284
2019,5,246593.58041042625
2019,6,123572.99468749648
2019,7,156658.2040576851
2019,8,113305.22797674037
2019,9,262135.76969092202
2019,10,326107.95521675184
2019,11,315837.2661136746
2019,12,538177.5822282746
2020,1,668980.3333928505
2020,2,601169.8590278702
2020,3,415799.6444738404
2020,4,274113.18924804433
2020,5,262402.7417296018
2020,6,159803.16459699415
2020,7,144170.7069786389
2020,8,139359.1304973357
2020,9,146156.27659041676
2020,10,386634.62737933116
2020,11,378012.5874553362
2020,12,503761.2597168501
2021,1,356190.7704519314
2021,2,358581.60966420337
2021,3,338041.0166681722
2021,4,312729.3896144189
2021,5,307938.11898990377
2021,6,96220.73058725042
2021,7,121273.44242488898
2021,8,188506.28227190944
2021,9,177540.1583992693
2021,10,419835.78348275664
2021,11,339153.55222687946
2021,12,491929.4787887519
2022,1,629109.6581012461
2022,2,586669.4972203805
2022,3,295065.1896084392
2022,4,336841.1199110594
2022,5,220462.50558163115
2022,6,125970.79072245039
2022,7,164085.22018226274
2022,8,80644.91167797385
2022,9,203463.56636024202
2022,10,312625.2579658848
2022,11,338412.3591695317
2022,12,431822.65410665795
2023,1,540009.7310727639
2023,2,380644.01567655307
2023,3,405479.9389736786
2023,4,270212.1501474555
2023,5,223307.16124481222
2023,6,134680.5887264697
2023,7,187709.14731749264
2023,8,147553.20912621473
2023,9,133214.7226233384
2023,10,324261.8362290133
2023,11,412981.1157410519
2023,12,584247.099690209
2024,1,670789.812718079
2024,2,458275.8239904427
2024,3,273901.0641203545
2024,4,302810.8211869938
2024,5,200415.17748585067
2024,6,142898.5425103504
2024,7,122797.60384471194
2024,8,119323.38318110642
2024,9,317998.1346677912
2024,10,307820.2682364949
2024,11,370773.7900927461
2024,12,470634.41177044273
